mmsi,name,imo,lat,lon,sog,cog,nav_status,ship_type,destination,eta,dim_bow,dim_stern,timestamp
2444059,HOEK VAN HOLLAND,0,,,,,,0,,"{""Day"":0,""Hour"":24,""Minute"":60,""Month"":0}",0,0,
6925141,JOANN@@BHEP@M9A.,,53.17761,5.48868,0,256,1,,,,,,2026-03-30 01:18:46.067018882 +0000 UTC
205180000,VAAR-WEL RAVEEL,,51.14791,2.7315,0.1,55,0,,,,,,2026-03-30 01:18:46.833091462 +0000 UTC
205193000,VB VICTORY,,51.16044,3.77484,0,25.6,5,,,,,,2026-03-30 01:18:41.611950361 +0000 UTC
205202690,GERONIMUS,,51.23726,4.41386,0,360,5,,,,,,2026-03-30 01:18:52.041584532 +0000 UTC
205212290,SCHELDEPOORT,,50.91522,3.41843,0,289,4,,,,,,2026-03-30 01:18:43.545692885 +0000 UTC
205227090,DONAU,,51.90299,5.54832,0,360,5,,,,,,2026-03-30 01:18:44.076242319 +0000 UTC
205231590,MARNIX VST ALDEGONDE,,51.22486,4.39298,0,126.2,0,,,,,,2026-03-30 01:18:46.692204252 +0000 UTC
205240000,Z35 ORA ET LABORA,,51.23425,2.93034,0,355,0,,,,,,2026-03-30 01:18:49.315884283 +0000 UTC
205243490,VENTUS,0,,,,,,99,BOZ,"{""Day"":17,""Hour"":2,""Minute"":0,""Month"":3}",98,12,
205248590,BIRJO,,51.71001,4.62722,1.9,314.6,0,,,,,,2026-03-30 01:18:44.230104278 +0000 UTC
205263890,YARIS,,51.82468,4.73613,0,360,5,,,,,,2026-03-30 01:18:46.105746816 +0000 UTC
205267690,RUPELDAM,,52.46397,4.61579,0,83,5,,,,,,2026-03-30 01:18:47.607364649 +0000 UTC
205270890,POA 2,,51.30958,4.32295,0,155.1,5,,,,,,2026-03-30 01:18:43.822745748 +0000 UTC
205313000,VOLTA 1,,51.31092,4.32183,0,2.4,5,,,,,,2026-03-30 01:18:42.796929883 +0000 UTC
205326990,CUM/DEO,,51.08657,3.73385,0,0,0,,,,,,2026-03-30 01:18:50.894376548 +0000 UTC
205333000,Z548 FLAMINGO,,51.55907,-7.61389,4.8,86,7,,,,,,2026-03-30 01:18:48.648739042 +0000 UTC
205351290,TUG 11,9211717,,,,,,52,ANTWERP,"{""Day"":0,""Hour"":0,""Minute"":0,""Month"":0}",15,15,
205369890,NAVIRA,,51.40558,4.0322,9.5,178,0,,,,,,2026-03-30 01:18:49.015555309 +0000 UTC
205373990,SKI,,51.25472,5.69489,0,179.7,0,,,,,,2026-03-30 01:18:47.496225817 +0000 UTC
205383490,VERITY,,51.28214,4.35168,0,89.4,5,,,,,,2026-03-30 01:18:44.845444402 +0000 UTC
205386100,LINAS,,51.03636,3.68752,0,0,0,,,,,,2026-03-30 01:18:50.900600899 +0000 UTC
205413990,TALLINN,,51.90567,4.3893,0,360,0,,,,,,2026-03-30 01:18:48.971710249 +0000 UTC
205417000,VB EMERALD,9314296,51.3378,3.81724,0,131.6,5,79,HARBOUR TUG,"{""Day"":0,""Hour"":24,""Minute"":60,""Month"":0}",8,25,2026-03-30 01:18:40.742642983 +0000 UTC
205426490,RUMANDY,0,,,,,,79,WESTDORPE,"{""Day"":2,""Hour"":11,""Minute"":7,""Month"":10}",70,10,
205441190,AGNES,,51.20336,3.51592,0.1,0,15,,,,,,2026-03-30 01:18:43.553007157 +0000 UTC
205452490,AHEAD,0,,,,,,79,ZEEBRUGGE,"{""Day"":25,""Hour"":17,""Minute"":30,""Month"":3}",50,10,
205455790,NIL-OBSTAT,,51.09081,3.67615,0,360,0,,,,,,2026-03-30 01:18:50.896831972 +0000 UTC
205456690,SCALDIS,,51.60526,4.02991,9.6,62.5,0,,,,,,2026-03-30 01:18:41.170930052 +0000 UTC
205474790,EDWIN,,51.09287,3.68472,0,269.7,0,,,,,,2026-03-30 01:18:50.901471792 +0000 UTC
205483690,NINOKO,,47.54181,7.66151,0,0,0,,,,,,2026-03-30 01:18:49.716477628 +0000 UTC
205484000,VB KODIAK,,51.34476,4.27665,3.3,105.4,0,,,,,,2026-03-30 01:18:52.201094433 +0000 UTC
205484790,DEN DUVEL,,51.31518,4.3183,0.1,69.5,5,,,,,,2026-03-30 01:18:40.917566361 +0000 UTC
205497190,FUTURA,,51.0921,3.68187,0.1,17.2,0,,,,,,2026-03-30 01:18:50.900927802 +0000 UTC
205507390,MAURICE MAETERLINCK,,51.11012,3.74092,0,288.9,0,,,,,,2026-03-30 01:18:46.828828364 +0000 UTC
205517390,DE SCHELE,,51.31518,4.31875,0,101.6,0,,,,,,2026-03-30 01:18:45.865756568 +0000 UTC
205522890,PUCCINI,0,,,,,,80,EEMSHAVEN JULIANAHAV,"{""Day"":30,""Hour"":19,""Minute"":8,""Month"":3}",76,10,
205530290,ELISA-S,,51.29725,4.32745,0,360,6,,,,,,2026-03-30 01:18:48.856812307 +0000 UTC
205531890,EENDRACHT 4,,51.10932,3.74393,0,360,15,,,,,,2026-03-30 01:18:46.837411276 +0000 UTC
205545000,VB PANDA,,51.3525,3.20023,2.5,318.2,0,,,,,,2026-03-30 01:18:41.124674344 +0000 UTC
205554990,LIBURNA,,52.50564,6.04946,0,360,0,,,,,,2026-03-30 01:18:41.03900456 +0000 UTC
205562000,PROVIDER,,51.13585,2.74615,0,259.3,0,,,,,,2026-03-30 01:18:46.82597031 +0000 UTC
205563690,CADENSIA,,51.09328,3.68465,0,65.6,0,,,,,,2026-03-30 01:18:41.618465456 +0000 UTC
205564190,DON ZIMMANI,,50.89538,7.00179,9.8,284,0,,,,,,2026-03-30 01:18:44.874364514 +0000 UTC
205565590,RIVER DRONE 5,,51.96787,4.0389,0,241.8,5,,,,,,2026-03-30 01:18:44.359009447 +0000 UTC
205566490,ANNIE 5,,51.49947,4.05531,0,360,0,,,,,,2026-03-30 01:18:47.684731554 +0000 UTC
205571090,REVENGE,,51.62247,4.76709,0,0,5,,,,,,2026-03-30 01:18:45.539496788 +0000 UTC
205571990,SUBTILA,,51.08753,3.66224,0,360,0,,,,,,2026-03-30 01:18:46.831963578 +0000 UTC
205572190,AQUA SAPPHIRE,,51.81651,4.6814,0,11.7,5,,,,,,2026-03-30 01:18:46.625713943 +0000 UTC
205572990,CAPARO,,51.88416,4.30648,0,172.7,5,,,,,,2026-03-30 01:18:51.660834666 +0000 UTC
205585290,LAZARO,,52.37943,4.94537,0,300.3,5,,,,,,2026-03-30 01:18:45.148799569 +0000 UTC
205591000,WESTDIEP PILOT,9568988,,,,,,50,OOSTENDE,"{""Day"":0,""Hour"":24,""Minute"":60,""Month"":0}",10,15,
205592000,WIELINGEN PILOT,9568990,51.22272,2.93595,0,172,0,50,OOSTENDE,"{""Day"":12,""Hour"":8,""Minute"":0,""Month"":8}",10,15,2026-03-30 01:18:42.474093757 +0000 UTC
205598000,RAVELINGEN,,51.22516,4.39287,0,353.8,7,,,,,,2026-03-30 01:18:40.980025762 +0000 UTC
205603000,AQUASURVEYOR,,51.23377,2.93327,102.3,360,0,,,,,,2026-03-30 01:18:45.431638721 +0000 UTC
205622000,AMAZONE,,38.03001,23.49551,0,31,5,,,,,,2026-03-30 01:18:50.689602624 +0000 UTC
205647000,PIERRE PETIT SURVEY,,51.44397,3.59268,0,341.5,5,,,,,,2026-03-30 01:18:45.870830353 +0000 UTC
205687000,,,51.88683,4.45167,0.1,0,5,,,,,,2026-03-30 01:18:45.371627228 +0000 UTC
205710410,FLORENCE,,51.2363,4.41472,0,360,0,,,,,,2026-03-30 01:18:43.208158519 +0000 UTC
205727730,ZENITH,0,,,,,,79,WINTAM,"{""Day"":27,""Hour"":3,""Minute"":0,""Month"":9}",110,0,
205770710,CHANI,,51.23247,4.41528,0,360,3,,,,,,2026-03-30 01:18:44.387663559 +0000 UTC
205771000,JOAN,,58.49627,4.51997,10.7,295.5,0,,,,,,2026-03-30 01:18:41.231551632 +0000 UTC
205795000,A LA MARINE,,35.7786,14.68495,8.3,302.3,0,,,,,,2026-03-30 01:18:41.880277999 +0000 UTC
207224000,ALEXANDRA,,43.19555,27.91181,0,339.1,0,,,,,,2026-03-30 01:18:45.858591886 +0000 UTC
209221000,TRAVIATA,,54.13253,6.54171,11.8,85.3,0,,,,,,2026-03-30 01:18:51.604821936 +0000 UTC
209255000,EDT PROTEA,9019107,,,,,,99,BEVERWIJK,"{""Day"":18,""Hour"":13,""Minute"":30,""Month"":3}",10,80,
209275000,KAIROS,,53.51867,8.55382,0,160.5,1,,,,,,2026-03-30 01:18:42.890781362 +0000 UTC
209536000,,,55.31117,9.86828,8.4,158.2,0,,,,,,2026-03-30 01:18:46.002880453 +0000 UTC
209852000,NDEAVOR,9650212,,,,,,90,ROTTERDAM,"{""Day"":17,""Hour"":16,""Minute"":0,""Month"":3}",15,85,
209869000,GOLDEN CARRIER,,39.45018,-0.3211,0,171.8,5,,,,,,2026-03-30 01:18:48.947484067 +0000 UTC
209951000,BOKALIFT 2,9190705,,,,,,90,AMSTERDAM,"{""Day"":18,""Hour"":12,""Minute"":0,""Month"":3}",49,182,
210017000,ELBWIND,,53.70439,8.32162,12.2,123.4,0,,,,,,2026-03-30 01:18:51.75902242 +0000 UTC
210118000,ACE DISCOVERER,9741281,,,,,,70,NLAMS,"{""Day"":31,""Hour"":4,""Minute"":30,""Month"":3}",25,61,
